Owner Info,No of Bhk,Price Info,Locality, Square Feet, Construction,Price Per Sqft
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 34 L,Miyapur,1040 ,Under Construction,"3,269 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 34 L,Miyapur,1040 ,Under Construction,"3,269 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 34 L,Miyapur,1040 ,Under Construction,"3,269 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 34 L,Miyapur,1040 ,Under Construction,"3,269 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1150 ,Under Construction,"3,130 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 35.7 L,Miyapur,1020 ,Under Construction,"3,500 / sq ft"
OWNER,3 BHK Apartment, 54.6 L,Miyapur,1560 ,Under Construction,"3,500 / sq ft"
OWNER,2 BHK Apartment, 44 L,Miyapur,1050 ,Under Construction,"4,190 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1520 ,Under Construction,"2,368 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Chandanagar Vill,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1150 ,Under Construction,"2,260 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,2 BHK Apartment, 35 L,muthangi,1560 ,Under Construction,"2,243 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1260 ,Under Construction,"3,492 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,3 BHK Apartment, 59 L,Nizampet,1705 ,Ready to move,"3,460 / sq ft"
OWNER,3 BHK Apartment, 59 L,Nizampet,1705 ,Ready to move,"3,460 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 37 L,Chandanagar,1040 ,Under Construction,"3,557 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1060 ,Under Construction,"3,584 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,2 BHK Apartment, 38 L,Miyapur,1040 ,Under Construction,"3,653 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,2 BHK Apartment, 36 L,Miyapur,1020 ,Under Construction,"3,529 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1240 ,Under Construction,"3,548 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1260 ,Under Construction,"3,492 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,3 BHK Apartment, 59 L,Nizampet,1705 ,Ready to move,"3,460 / sq ft"
OWNER,3 BHK Apartment, 59 L,Nizampet,1705 ,Ready to move,"3,460 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1260 ,Under Construction,"3,492 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1260 ,Under Construction,"3,492 / sq ft"
OWNER,3 BHK Apartment, 44 L,Chandanagar,1260 ,Under Construction,"3,492 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,2 BHK Apartment in Lunar Gardenia, 70 L,Manikonda,1300 ,Ready to move,"5,384 / sq ft"
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,Resale,856 / sq ft
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 35.7 L,Miyapur,1020 ,Under Construction,"3,500 / sq ft"
OWNER,2 BHK Apartment, 35.7 L,Miyapur,1020 ,Under Construction,"3,500 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 35.7 L,Miyapur,1020 ,Under Construction,"3,500 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1170 ,Under Construction,"2,222 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,2 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1530 ,Under Construction,"1,699 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1570 ,Under Construction,"2,292 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1500 ,Under Construction,"1,733 / sq ft"
OWNER,3 BHK Apartment, 36 L,muthangi,1560 ,Under Construction,"2,307 / sq ft"
OWNER,2 BHK Apartment, 26 L,muthangi,1160 ,Under Construction,"2,241 / sq ft"
OWNER,3 BHK Apartment, 43.4 L,Miyapur,1240 ,Under Construction,"3,500 / sq ft"
OWNER,3 BHK Apartment, 43.4 L,Miyapur,1240 ,Under Construction,"3,500 / sq ft"
OWNER,3 BHK Apartment, 43.4 L,Miyapur,1240 ,Under Construction,"3,500 / sq ft"
OWNER,3 BHK Apartment, 43.4 L,Miyapur,1240 ,Under Construction,"3,500 / sq ft"
